;Brady;Grey
1;224;2021
2;334;3026
3;240;2681
4;553;4956
5;259;4698
6;989;4305
7;1234;4351
8;647;4415
9;605;4641
10;1201;4137
11;873;6000
12;670;5063
13;745;4964
14;1474;5001
15;1795;4529
16;1691;5068
17;1975;3422
18;2204;4265
19;1173;4671
20;2345;6414
21;2391;5111
22;2285;3489
23;1300;4524
24;1454;5945
25;1756;3370
26;1319;4953
27;2463;6929
28;2145;2876
29;2366;5174
30;1886;4698
31;1808;3669
32;2098;4484
33;2294;4216
34;2322;3552
35;2674;6253
36;2149;4203
37;2135;5501
38;2050;4806
39;1541;5521
40;1548;3643
41;582;7535
42;885;8013
43;1975;4382
44;1370;4947
45;1956;4829
46;1358;4601
47;1739;5217
48;1900;5367
49;1881;6455
50;704;8377
51;550;6152
52;2083;5048
53;4566;1911
54;1734;7308
55;1743;3660
56;1838;4962
57;2531;4713
58;836;4768
59;2374;4823
60;1311;4147
61;2349;3828
62;1653;3963
63;2530;4384
64;2865;2882
65;2465;2173
66;2650;3857
67;1023;4639
68;2559;3277
69;2563;6173
70;2060;3270
71;2628;3214
72;1440;3277
73;2817;2704
74;1762;4370
75;1847;4176
76;1605;4538
77;3676;2639
78;2145;3009
79;2469;2779
80;1918;3937
81;3486;5054
82;2351;4260
83;1731;4140
84;1937;3604
85;3095;3513
86;2308;2868
87;3276;3040
88;1889;2640
89;2952;3920
90;3138;3468
91;3192;3712
92;2940;3638
93;2543;3978
